id,cnY
BMH1_TG001_P32_D03,none
BMH1_TG001_P32_D04,none
BMH1_TG001_P32_D05,none
BMH1_TG001_P32_D06,none
BMH1_TG001_P32_D07,none
BMH1_TG001_P32_D08,none
BMH1_TG001_P32_D09,loss Y
BMH1_TG001_P32_D10,loss Y
BMH1_TG001_P32_D11,none
BMH1_TG001_P32_E01,none
BMH1_TG001_P32_E02,none
BMH1_TG001_P32_E03,none
BMH1_TG001_P32_E04,none
BMH1_TG001_P32_E05,none
BMH1_TG001_P32_E06,none
BMH1_TG001_P32_E07,none
BMH1_TG001_P32_E08,none
BMH1_TG001_P32_E09,none
BMH1_TG001_P32_E10,none
BMH1_TG001_P32_E11,none
BMH1_TG001_P32_F01,none
BMH1_TG001_P32_F02,none
BMH1_TG001_P32_F03,none
BMH1_TG001_P32_F04,none
BMH1_TG001_P32_F05,none
BMH1_TG001_P32_F06,none
BMH1_TG001_P32_F07,none
BMH1_TG001_P32_F08,none
BMH1_TG001_P32_F09,none
BMH1_TG001_P32_F10,none
BMH1_TG001_P32_F11,none
BMH1_TG001_P32_G01,none
BMH1_TG001_P32_G02,none
BMH1_TG001_P32_G03,none
BMH1_TG001_P32_G04,none
BMH1_TG001_P32_G05,none
BMH1_TG001_P32_G06,none
BMH1_TG001_P32_G07,none
BMH1_TG001_P32_G08,none
BMH1_TG001_P32_G09,none
BMH1_TG001_P32_G10,loss Y
BMH1_TG001_P32_G11,none
BMH1_TG001_P32_H01,none
BMH1_TG001_P32_H02,none
BMH1_TG001_P32_H03,none
BMH1_TG001_P32_H04,none
BMH1_TG001_P32_H05,none
BMH1_TG001_P32_H06,none
BMH1_TG001_P32_H07,none
BMH1_TG001_P32_H08,none
BMH1_TG001_P32_H09,none
BMH1_TG001_P32_H10,none
BMH1_TG001_P32_H11,none
